"name_tfs","name_css","Description"
"GOAL02","GOAL02","Goal: Becoming a community leader"
"GOAL03","GOAL03","Goal: Becoming accomplished in one of the performing arts (acting, dancing, etc.)"
"GOAL04","GOAL04","Goal: Becoming an authority in my field"
"GOAL06","GOAL05","Goal: Becoming involved in programs to clean up the environment"
"GOAL07","GOAL06","Goal: Becoming successful in a business of my own"
"GOAL08","GOAL07","Goal: Being very well off financially"
"GOAL09","GOAL08","Goal: Creating artistic work (paintings, sculpture, etc.)"
"GOAL10","GOAL09","Goal: Developing a meaningful philosophy of life"
"GOAL11","GOAL10","Goal: Having administrative responsibility for the work of others"
"GOAL12","GOAL11","Goal: Helping others who are in difficulty"
"GOAL13","GOAL12","Goal: Helping to promote racial understanding"
"GOAL15","GOAL15","Goal: Influencing social values"
"GOAL16","GOAL16","Goal: Influencing the political structure"
"GOAL18","GOAL18","Goal: Keeping up to date with political affairs"
"GOAL19","GOAL19","Goal: Making a theoretical contribution to science"
"GOAL20","GOAL20","Goal: Obtaining recognition from my colleagues for contributions to my special field"
"GOAL21","GOAL21","Goal: Participating in a community action program"
"GOAL23","GOAL22","Goal: Raising a family"
"GOAL24","GOAL24","Goal: Writing original works (poems, novels, etc.)"
"RATE01","RATE01","Self Rating: Academic ability"
"RATE04","RATE04","Self Rating: Competitiveness"
"RATE06","RATE06","Self Rating: Cooperativeness"
"RATE07","RATE07","Self Rating: Creativity"
"RATE08","RATE09","Self Rating: Drive to achieve"
"RATE09","RATE10","Self Rating: Emotional health"
"RATE10","RATE12","Self Rating: Leadership ability"
"RATE15","RATE22","Self Rating: Self-confidence (intellectual)"
"RATE16","RATE23","Self Rating: Self-confidence (social)"
"RATE19","RATE27","Self Rating: Understanding of others"
"RATE20","RATE28","Self Rating: Writing ability"
"VIEW19","VIEW25","View: Realistically, an individual can do little to bring about changes in our society"
"VIEW31","VIEW42","View: Wealthy people should pay a larger share of taxes than they do now"
